id,created_at,temp,feels_like,weather,pop
393cfb3c-79df-40df-95a5-3d9757796f4d,2024-12-26 14:09:09.019374+00,5.27,5.27,few clouds,0
39ac906d-e98c-4c0f-8ec4-f3fd2746274d,2024-12-24 13:16:27.184519+00,11.22,10.96,overcast clouds,0
39f2f9df-5930-4f02-8a00-5497310f989f,2024-12-25 05:10:14.356928+00,7.49,6.98,scattered clouds,0
3b1b1c06-3003-4d7d-9d63-0fc022f88f0a,2024-12-07 07:00:35.497783+00,9.3,5.12,broken clouds,0
3bb8dbb4-9091-43dc-8b99-0f0b99f92eea,2024-12-25 04:12:36.406497+00,7.49,6.98,scattered clouds,0
3e8e8a46-4695-49a8-ba9f-45d236cd71ab,2024-12-01 19:51:04.63044+00,12.66,12.36,overcast clouds,0
3ea18e9d-66a1-4438-a03c-4ef6afa5e70a,2024-12-27 12:29:55.243349+00,4.13,2.55,clear sky,0
3fef4c40-02e5-4f32-b7e4-7e54599fc4f4,2024-12-26 12:18:12.519789+00,5.62,4.87,clear sky,0
4061a97e-02a6-449e-a1b1-b52640460577,2024-12-25 23:50:54.494255+00,7.93,6.98,overcast clouds,0
415a09a0-31aa-46be-9fb1-39add50b1fa8,2024-12-07 19:51:18.75076+00,7.09,2.41,overcast clouds,0
450f4f54-bd5e-4616-8d22-4b6c9ef0a27d,2024-12-27 11:08:22.988645+00,3.66,3.66,clear sky,0
454067ea-633b-443f-8c2e-bacf9f3e75da,2024-12-01 22:51:19.941405+00,12.47,12.07,broken clouds,0
45f4cd0a-b5bc-454b-b218-daa2967537ab,2024-12-24 18:12:58.676272+00,10.07,9.69,overcast clouds,0
4898e4a9-cb32-4e85-85c1-1c0d00ddd38f,2024-12-11 22:22:05.544673+00,6.69,3.92,overcast clouds,0
49ffe2c9-c0ae-456a-b400-a789a80e510e,2024-12-24 09:10:12.875277+00,10.05,9.7,broken clouds,0
4b4a5f2d-96e0-45af-bf17-1834f5ff0cf5,2024-12-27 09:10:20.18497+00,2.03,0.81,clear sky,0
4d251be5-a487-41f0-9d5b-577d176354cf,2024-12-24 04:12:45.432605+00,8.05,7.62,overcast clouds,0
506a9ac2-1c60-48bf-ac36-89edd61d2526,2024-12-02 22:51:19.282057+00,7.65,5.33,broken clouds,0
518fd9d1-0083-4569-b23c-599098d7cf14,2024-12-25 21:27:04.843911+00,7.96,7.51,overcast clouds,0
51b8b56a-cbee-4eb0-8d8b-cf0f633318c5,2024-12-04 07:02:58.577894+00,4.75,2.14,broken clouds,0
522d2dd1-2b71-4cca-9199-f8c9ce19e324,2024-12-26 09:10:22.412907+00,6.33,6.33,clear sky,0
55b78d93-e0be-4e15-83ef-98f09d042647,2024-12-03 01:51:22.785061+00,6.31,3.4,overcast clouds,0
57ae6474-4222-488f-a7b4-aa6d50e6d52e,2024-11-29 16:51:02.175808+00,8.19,5.99,few clouds,0
58e11270-e3d3-4951-8c98-db75139824f5,2024-12-26 13:17:01.680643+00,5.74,5.74,few clouds,0
5913bd08-ef5b-4cac-a6db-5ef42e95a85f,2024-12-27 13:16:09.452769+00,4.12,2.34,clear sky,0
5d510ac5-7f16-4fcd-9704-fd17f129b2a2,2024-12-24 05:10:13.498387+00,8.08,6.75,overcast clouds,0
5e33e1d5-1263-48d8-b21f-43db3b6e7440,2024-11-30 16:51:20.291384+00,13.32,13.01,broken clouds,0
5eee5ee0-318a-4522-a8f0-1519fd01cf1b,2024-12-25 10:10:15.93096+00,7.58,6.16,few clouds,0
5f14ce8b-9cb0-4d64-8573-1a5fb0faab9b,2024-12-27 14:09:21.846977+00,4.12,2.72,clear sky,0
5f268fff-5e9f-4075-ae0d-1882b60d4b8e,2024-12-25 02:10:22.781152+00,8.15,7.73,broken clouds,0
60e1d348-1394-484c-94a7-64b3393877f1,2024-12-24 17:09:45.297585+00,10.15,9.78,overcast clouds,0
61b1dfef-96a6-490a-9fe7-dffd32c5414c,2024-12-24 16:57:54.703883+00,10.2,9.83,overcast clouds,0
673fe6f6-ddec-4bd5-8322-05cc54e52a0d,2024-12-06 22:51:14.972609+00,10.5,9.96,light rain,0.31
6933f6fb-1ac7-478d-aaa5-a8335b7da4ae,2024-12-08 01:51:05.223772+00,7.24,3.68,moderate rain,1.62
6bc8eafe-18f6-4290-8ba1-6f17c3c4b8a7,2024-12-24 11:08:33.169517+00,9.87,8.28,broken clouds,0
6d8b8235-3fe5-445a-9fd4-e186fd406ca0,2024-12-03 07:03:43.738407+00,5.55,3.49,overcast clouds,0
7108f15a-8158-458e-8efa-98b82cb71d2d,2024-12-20 18:10:06.913993+00,8.04,4.94,overcast clouds,0
72bbe5d9-6f19-4224-ad16-86b94b6f5587,2024-12-24 17:11:06.483132+00,10.15,9.78,overcast clouds,0
730fd3f3-dcc1-4f53-9577-8674e8a8f064,2024-12-25 06:14:24.441076+00,7.49,6.06,scattered clouds,0
7d8568ca-27b0-43a3-8065-faeabd4a129d,2024-12-26 16:11:55.158514+00,4.67,4.67,scattered clouds,0
80bbb7d3-e64a-478c-b8da-3b2ab17ad39e,2024-12-23 22:23:51.067063+00,5.2,4.39,overcast clouds,0
81d3f938-6cc2-467b-88dc-a7d4348b182e,2024-12-26 08:13:21.879722+00,6.55,6.55,clear sky,0
837807a4-ec77-4702-8108-55b983e3d4c8,2024-12-25 22:09:15.143672+00,8.01,8.01,overcast clouds,0
83ff25a5-952f-4067-85f5-242bebe9273f,2024-12-06 14:08:02.705355+00,9.54,7.63,overcast clouds,0
847c1b52-3529-47fa-93ef-cf0bc75b1f8b,2024-12-27 07:10:54.025486+00,2.52,1.36,clear sky,0
84c31ff7-9e5c-49df-b19a-915da8cd12bd,2024-12-24 19:53:27.88564+00,9.16,8.02,overcast clouds,0
84c6ae47-56c4-4977-849f-37d2f4d6f51f,2024-12-24 14:09:14.12173+00,10.67,10.33,overcast clouds,0
86b33b7a-5fb2-43d5-acd0-90d9179e4a22,2024-12-27 05:10:07.127938+00,1.93,0.69,scattered clouds,0
89098a57-2c3a-4c43-b252-98bfdac674bf,2024-12-12 00:41:59.789702+00,6.65,4.8,overcast clouds,0
8982cf8a-c487-48dc-99aa-dd68c0b40e91,2024-12-25 20:10:32.676128+00,8.05,7.12,overcast clouds,0
8b1bca23-bcc6-468c-a6f2-fd9638f41419,2024-12-26 15:09:40.224471+00,5.27,3.72,scattered clouds,0
8cf0b05b-01e1-4f12-9952-cc92389c9ee5,2024-12-06 16:51:05.272892+00,8.54,6.7,overcast clouds,0
8dc89b00-66c1-4292-a9e0-f867278cee2d,2024-12-26 17:08:38.088973+00,4.64,4.64,scattered clouds,0
8eb3f254-5489-4415-9c0c-dd7aac409418,2024-12-26 18:13:10.501691+00,4.12,4.12,few clouds,0
8eebec98-ff18-444c-90ae-f66e2593b22c,2024-12-12 07:35:03.878575+00,5.05,5.05,overcast clouds,0
8f39be60-f838-4ebf-9220-8a3feaea3951,2024-12-27 12:32:09.095109+00,4.12,2.34,clear sky,0
91297086-e6c0-4a6c-b017-f68f29f0fc0c,2024-12-25 13:16:08.346227+00,8.04,7.11,overcast clouds,0
929a8668-7e15-445e-a21a-1c6b63c3ae19,2024-12-07 15:50:21.102974+00,6.62,1.54,overcast clouds,0
937b329f-39df-406a-8664-c5ab4cfddfe1,2024-12-24 22:09:12.694423+00,9.13,9.13,overcast clouds,0
95d31a34-9f44-4fa2-9f62-440573e5b410,2024-12-08 07:02:38.713364+00,7.07,2.95,heavy intensity rain,5.62
965a45f2-0800-4429-be5a-3bdaf2070122,2024-12-24 16:11:25.976808+00,10.2,9.81,overcast clouds,0
9bb5e390-eb7a-4a36-816e-48b0e9528379,2024-12-24 23:09:25.627001+00,9.04,8.74,overcast clouds,0
9df34a42-5027-422c-b19d-97d2a956f58c,2024-12-25 11:08:23.401958+00,7.56,7.06,few clouds,0
9fc328d4-a993-405e-81ec-6e8d521ea8b8,2024-12-26 07:10:06.214049+00,7.1,7.1,clear sky,0
a055fc91-c8f1-45e2-9499-f6736dbc27e8,2024-12-26 00:27:26.182166+00,7.93,7.93,overcast clouds,0
a1acca68-fb77-48db-a383-85cc9dd0aa73,2024-12-25 00:45:10.344097+00,8.56,6.99,broken clouds,0
a27a20fe-d2a2-457a-92d0-484ae7a2df7a,2024-12-24 17:04:38.794049+00,10.2,9.83,overcast clouds,0
a375fe7d-96ad-4515-8cc5-70c62d059e12,2024-12-04 11:46:26.682056+00,7.38,5.31,overcast clouds,0
a4c35c86-22d2-482e-a842-d64317719f0a,2024-12-07 12:03:24.697745+00,6.76,1.85,light rain,0.83
a7b55741-abe5-4403-9476-7d7870d228a9,2024-12-08 22:51:22.652361+00,7.93,4.94,few clouds,0
aa6c5eff-006f-4172-b7a1-3fc94a4676c4,2024-12-27 12:17:35.36197+00,4.17,3.01,clear sky,0
ace26a45-900a-4a0f-9222-d8c847efcaf5,2024-12-05 01:51:23.916232+00,10.13,9.55,broken clouds,0
af807886-cf72-47e3-8d94-83789e9a0a46,2024-12-03 16:51:04.928414+00,5.95,4.98,broken clouds,0
b11e5e1f-a18f-4918-a8aa-d5429c46037d,2024-12-25 07:09:49.658328+00,7.49,6.47,few clouds,0
b3b31ac5-1f9b-47f2-8f4d-4c0453ca8475,2024-12-24 16:56:21.271385+00,10.2,9.83,overcast clouds,0
b4e33304-2320-44fa-be84-cd68b4f2a5b2,2024-12-25 16:11:28.718287+00,8.71,7.2,overcast clouds,0
b74c3807-0617-430e-a164-87e47188ae2a,2024-12-27 06:14:11.320474+00,2.39,1.21,scattered clouds,0
b74f2577-f5b8-4fde-be55-62710352f89e,2024-12-04 14:54:27.025872+00,8.68,7.6,overcast clouds,0
b75e4c6b-b52b-4d58-a0b5-63c1ada05a29,2024-12-26 23:09:58.355763+00,3.52,2.49,scattered clouds,0
b76f7c11-db28-46da-99c8-86e9787056d7,2024-12-26 19:08:04.778834+00,4.12,4.12,clear sky,0
b7b90bb9-89ab-4b18-882e-0dca506a752e,2024-12-24 16:42:05.850795+00,10.25,9.89,overcast clouds,0
b9936582-6458-4e7f-9b08-1e45c4633883,2024-12-24 02:55:22.490904+00,7.88,6.92,overcast clouds,0
bb22f90d-8a2d-4d98-867e-01de51c64148,2024-12-27 12:28:02.193478+00,4.13,2.55,clear sky,0
bba21078-a9ac-4397-ade3-0d868fc72063,2024-12-27 03:15:18.0724+00,2.43,0.63,scattered clouds,0
bc831911-629e-48fa-ae7f-013477d81f1c,2024-12-08 09:03:19.328299+00,6.38,2.05,light rain,0.16
c50242bf-4f4a-4630-b2d2-b3799c243809,2024-12-07 16:51:05.204929+00,6.81,2.17,overcast clouds,0
c50426b4-eb04-4d29-9353-50fdc429a287,2024-12-09 07:26:59.307278+00,7.05,4.07,overcast clouds,0
c509a9df-fbd1-4795-9af1-bcc60fc3d01e,2024-12-05 22:51:22.529165+00,9.03,4.98,broken clouds,0
c6531152-3732-494e-b183-a1bd0ae6bdf9,2024-12-25 08:12:59.706092+00,7.45,7.45,few clouds,0
c74c06f6-144e-4e54-9427-76eeae0e8c71,2024-12-25 03:14:00.785462+00,8.6,6.34,scattered clouds,0
c8829f8d-e0e7-4a2c-811c-06867c52092e,2024-12-26 20:10:45.441723+00,4.12,2.58,clear sky,0
ca1b2cfd-2b6b-4d63-a743-8ceaadff6869,2024-12-05 19:51:30.384951+00,13,12.71,light rain,0.98
ccc3a429-8e7f-45b7-9cf7-eabde5de9c16,2024-12-25 14:09:09.369268+00,8.09,6.14,overcast clouds,0
cd8dbe67-0b7d-4a40-a30a-97d40be71c31,2024-12-24 15:38:38.625691+00,10.72,10.38,overcast clouds,0
cf1abeed-89b4-4e2c-85b0-9d2d36435d45,2024-12-06 19:51:11.859056+00,9,6.98,broken clouds,0
d05cd20f-fe61-4d61-9fff-503885d4de1d,2024-11-29 16:50:37.105826+00,8.19,5.99,few clouds,0
d06001bc-d3f6-4f9b-a5f7-d10a411e72be,2024-12-05 07:07:36.451779+00,12.11,11.78,overcast clouds,0
d1d4e1c1-4f03-492a-bb2b-104286248bd3,2024-12-27 04:12:33.879691+00,2.38,2.38,scattered clouds,0
d96d619f-98b6-410d-ac82-73588b8dbc42,2024-11-30 22:51:04.135692+00,11.71,11.29,few clouds,0
d9c22a29-51ac-43a5-8663-0e139ab8565c,2024-12-27 02:12:14.005027+00,2.94,1.84,broken clouds,0
da3be4dc-3c5c-43af-82a4-974731bd48c2,2024-12-27 08:13:22.880927+00,1.94,0.05,clear sky,0
dc10a824-98c5-4f55-9a2b-365abb229fcc,2024-12-07 09:00:40.565144+00,7.64,2.38,moderate rain,2.32
dea7e9d1-200e-4fac-a09d-18b67e981f97,2024-12-26 05:10:16.257149+00,6.42,6.42,broken clouds,0
e11f9262-51dd-4f28-86c4-1efcfa3596f1,2024-12-24 17:00:58.758875+00,10.2,9.83,overcast clouds,0
e61c1c4e-f675-4577-a2a3-95bf32308dd8,2024-12-25 21:09:12.976564+00,8,7.56,overcast clouds,0
e713aadd-86ed-4c97-bbf1-78d69ed5aa4f,2024-12-26 04:12:53.084087+00,6.89,6.89,broken clouds,0
e89ce6f3-7df9-4a58-9476-08a0d038a236,2024-12-24 15:09:33.087885+00,10.72,10.38,overcast clouds,0
ea155514-5c92-4006-be67-cae24be59f4b,2024-12-27 12:30:51.942264+00,4.13,2.55,clear sky,0
ea890bb0-a409-4a1b-b1c7-139a434a496b,2024-12-27 12:28:00.246938+00,4.13,2.55,clear sky,0
eae9d9d8-eb3a-47c1-b159-e412a980bea5,2024-12-09 19:51:28.764055+00,8.04,4.52,light rain,0.19
ec081642-6e4a-4ca8-a825-4a3a4d4dd446,2024-12-24 17:08:21.782621+00,10.15,9.78,overcast clouds,0
f10364e9-dabd-4f5c-bbfa-ea550cdef8fe,2024-12-26 03:15:46.472241+00,6.94,6.94,broken clouds,0
f1e4be57-f2ff-44f3-aa6a-2b7efb2af99d,2024-12-26 06:14:35.129962+00,6.34,5.68,broken clouds,0
f1fadc20-39a8-4431-ba7c-c529eea62c88,2024-12-24 20:10:28.681149+00,9.21,9.21,overcast clouds,0
f348a35d-1851-4ca6-86e3-1eafb7f9f3a0,2024-12-24 03:15:44.539114+00,7.44,6,overcast clouds,0
f6254855-33dd-40b1-9c2e-e9be42cfe0c9,2024-12-25 17:08:32.556168+00,8,7.56,overcast clouds,0
f8d4bc91-32fb-4454-a658-aaa99cf816ad,2024-11-30 20:04:31.44128+00,12.81,12.5,overcast clouds,0
f9703914-a47e-4513-98d8-4eef8e607615,2024-12-10 13:51:24.829656+00,7.32,3.97,overcast clouds,0
fb819ebe-02ef-43dc-a2b3-218f463e1631,2024-12-27 00:45:33.168956+00,3.01,3.01,broken clouds,0
fc3f7df8-3e4b-42b5-abda-798f11280fe4,2024-12-26 11:08:29.439357+00,5.77,5.77,clear sky,0
fcd9eb8f-d25d-483d-bda6-d6be48bf961f,2024-12-24 07:09:56.746524+00,9.53,8.15,overcast clouds,0
ff51bc0c-71e2-46ba-a74e-a54e1e1cb15e,2024-12-27 10:10:07.440903+00,3.84,3.84,clear sky,0
ffaf2467-08a4-49b6-9c87-53bbed3f1409,2024-12-24 16:55:06.622278+00,10.2,9.83,overcast clouds,0
ffcdd2c2-c72b-4d24-8719-3f40877f1058,2024-12-25 15:10:17.847742+00,8.04,6.7,overcast clouds,0
